ontologyId,title,count,score,reason,description
pco,Population and Community Ontology,435,9,population/community,"The Population and Community Ontology (PCO) describes material entities, qualities, and processes related to collections of interacting organisms such as populations and communities. It is taxon neutr"
afpo,African Population Ontology,554,9,population/community,"AfPO is an ontology that can be used in the study of diverse populations across Africa. It brings together publicly available demographic, anthropological and genetic data relating to African people i"
bco,Biological Collections Ontology,786,9,environmental conditions,"An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys."
ppo,Plant Phenology Ontology,964,9,population/community,"An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales."
unimod,Unimod protein modification database for mass spectrometry,1534,9,population/community,"Unimod is a community supported, comprehensive database of protein modifications for mass spectrometry applications. That is, accurate and verifiable values, derived from elemental compositions, for t"
ovae,OVAE: Ontology of Vaccine Adverse Events,1821,9,population/community,OVAE is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the community-based Ontology of Adverse Events (OAE). 
opmi,OPMI: Ontology of Precision Medicine and Investigation,3471,9,population/community,OPMI is a biomedical ontology in the area of precision medicine and its related investigations. It is community-driven and developed by following the OBO Foundry ontology development principles.
envo,The Environment Ontology,7365,9,environmental conditions,"ENVO is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities"
rbo,Radiation Biology Ontology,9797,9,environmental conditions,RBO is an ontology for the effects of radiation on biota in terrestrial and space environments.
vo,Vaccine Ontology,15337,9,population/community,"The Vaccine Ontology (VO) is a community-based biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine types and annotations, integrate various vaccine data, and s"
sepio,Ontology for Scientific Evidence and Provenance Information,456,8,experimental/evidence,An ontology for representing the provenance of scientific claims and the evidence that supports them.
duo,Data Use Ontology,458,8,experimental/evidence,DUO is an ontology which represent data use conditions.
geno,GENO ontology,653,8,experimental/evidence,"GENO is an OWL model of genotypes, their more fundamental sequence components, and links to related biological and experimental entities.  At present many parts of the model are exploratory and set to"
ontoavida,OntoAvida: ontology for Avida digital evolution platform.,732,8,experimental/evidence,The Ontology for Avida (OntoAvida) project aims to develop an integrated vocabulary for the description of the most widely used computational approach for performing experimental evolution using digit
dideo,Drug-drug Interaction and Drug-drug Interaction Evidence Ontology,875,8,pathogen/host interaction; experimental/evidence; unrelated domain,The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology
xco,Experimental condition ontology,1649,8,experimental/evidence,Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.
peco,Plant Experimental Conditions Ontology,3280,8,experimental/evidence,"A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments."
eco,Evidence & Conclusion Ontology (ECO),3449,8,experimental/evidence,"The Evidence & Conclusion Ontology (ECO) describes types of scientific evidence within the biological research domain that arise from laboratory experiments, computational methods, literature curation"
efo,Experimental Factor Ontology,67290,8,experimental/evidence,"The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combi"
pride,Proteomics Identification Database Ontology,71211,8,experimental/evidence,"Proteomics Identification Database Ontology, terms describing proteomics data and experimental metadata"
fypo,Fission Yeast Phenotype Ontology (FYPO),17232,6,phenotype-centric; fungal (lower priority than bacterial),A formal ontology of phenotypes observed in fission yeast.
pcl,Provisional Cell Ontology,207627,3,experimental/evidence; very large,Cell types that are provisionally defined by experimental techniques such as single cell transcriptomics rather than a straightforward & coherent set of properties.
Latitude (min/max) ,Unknown,1,0,no keywords matched,
Location ,Unknown,1,0,no keywords matched,
dc,,15,0,no keywords matched,
rdfs,The RDF Schema vocabulary (RDFS),15,0,no keywords matched,
oio,,29,0,no keywords matched,
skos,,32,0,no keywords matched,
trans,Pathogen Transmission Ontology,51,0,pathogen/host interaction; unrelated domain,"The Pathogen Transmission Ontology describes the tranmission methods of human disease pathogens describing how a pathogen is transmitted from one host, reservoir, or source to another host. The pathog"
bfo,Basic Formal Ontology,57,0,no keywords matched,The upper level ontology upon which OBO Foundry ontologies are built.
cio,Confidence Information Ontology,61,0,no keywords matched,An ontology to capture confidence information about annotations.
semapv,Semantic Mapping Vocabulary,67,0,no keywords matched,"The Semantic Mapping Vocabulary (SEMAPV) captures concepts and relations related to semantic matching, including types of matching (e.g. lexical, manually curated), preprocessing methods and specialis"
dcterms,,77,0,no keywords matched,
hom,Homology Ontology,84,0,no keywords matched,"This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology."
taxrank,Taxonomic rank vocabulary,88,0,no keywords matched,"A vocabulary of taxonomic ranks (species, family, phylum, etc)"
owl,The OWL 2 Schema vocabulary (OWL 2),90,0,no keywords matched,
orth,Orthology Ontology,100,0,no keywords matched,The need of a common ontology for describing orthology information in biological research communities has led to the creation of the Orthology Ontology (ORTH). ORTH ontology is designed to describe se
prov,Provenance Ontology (PROV-O),102,0,no keywords matched,
cob,Core Ontology for Biology and Biomedicine,105,0,no keywords matched,COB brings together key terms from a wide range of OBO projects to improve interoperability.
mamo,Mathematical Modelling Ontology,115,0,no keywords matched,"The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features."
omo,OBO Metadata Ontology,123,0,no keywords matched,An ontology specifies terms that are used to annotate ontology terms for all OBO ontologies. The ontology was developed as part of Information Artifact Ontology (IAO).
mpio,Minimum PDDI Information Ontology,135,0,pathogen/host interaction; unrelated domain,An ontology of minimum information regarding potential drug-drug interaction information.
ccf,Human Reference Atlas Common Coordinate Framework Ontology,144,0,no keywords matched,The Common Coordinate Framework (CCF) Ontology is an application ontology built to support the development of the Human Reference Atlas (HRA).  It unifies vocabulary for HRA construction and usage—mak
cro,Contributor Role Ontology,175,0,no keywords matched,"A classification of the diverse roles performed in the work leading to a published research output in the sciences. Its purpose to provide transparency in contributions to scholarly published work, to"
ornaseq,Ontology for RNA sequencing (ORNASEQ),181,0,no keywords matched,An application ontology designed to annotate next-generation sequencing experiments performed on RNA.
teddy,Terminology for Description of Dynamics,185,0,no keywords matched,"TEDDY is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems and Synthetic Biology."
dcat,,259,0,no keywords matched,
cdao,Comparative Data Analysis Ontology,324,0,no keywords matched,a formalization of concepts and relations relevant to evolutionary comparative analysis
fbdv,Drosophila development,324,0,no keywords matched,A structured controlled vocabulary of the development of Drosophila melanogaster.
ensemblglossary,Ensembl Glossary,382,0,no keywords matched,"The Ensembl glossary lists the terms, data types and file types that are used in Ensembl and describes how they are used."
nomen,NOMEN - A nomenclatural ontology for biological names,386,0,no keywords matched,NOMEN is a nomenclatural ontology for biological names (not concepts).  It encodes the goverened rules of nomenclature.
iao,Information Artifact Ontology (IAO),410,0,no keywords matched,"The Information Artifact Ontology (IAO) is an ontology of information entities, originally driven by work by the OBI digital entity and realizable information entity branch."
bspo,Biological Spatial Ontology,423,0,no keywords matched,"An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides and surfaces. These concepts can be used at multiple biological scales and in a diversity of taxa, in"
miapa,Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology,486,0,no keywords matched,The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information fo
cao,Chemical Analysis Metadata Platform (ChAMP) Ontology version 0.2,490,0,no keywords matched,The Chemical Analysis Ontology (CAO) is an ontology developed as part of the Chemical Analaysis Metadata Project (ChAMP) as a resource to semantically annotate standards developed using the ChAMP plat
srao,FAIRsharing Subject Ontology (SRAO),493,0,no keywords matched,"The FAIRsharing Subject Ontology (SRAO) is an application ontology for the categorization of research disciplines across all research domains, from the humanities to the natural sciences. It utilizes "
mf,Mental Functioning Ontology,509,0,no keywords matched,The Mental Functioning Ontology is an overarching ontology for all aspects of mental functioning.
evorao,,526,0,no keywords matched,
kisao,Kinetic Simulation Algorithm Ontology,544,0,no keywords matched,"A classification of algorithms for simulating biology, their parameters, and their outputs"
sibo,Social Insect Behavior Ontology,546,0,no keywords matched,Social Behavior in insects
omiabis,Ontologized MIABIS,551,0,no keywords matched,An ontological version of MIABIS (Minimum Information About BIobank data Sharing)
rex,Physico-chemical process,569,0,no keywords matched,"An ontology of physico-chemical processes, i.e. physico-chemical changes occurring in course of time."
uniprotrdfs,,569,0,no keywords matched,
ido,Infectious Disease Ontology,642,0,pathogen/host interaction; unrelated domain,"A set of interoperable ontologies that will together provide coverage of the infectious disease domain. IDO core is the upper-level ontology that hosts terms of general relevance across the domain, wh"
t4fs,terms4FAIRskills,643,0,no keywords matched,A terminology for the skills necessary to make data FAIR and to keep it FAIR.
oarcs,Ontology of Arthropod Circulatory Systems,650,0,no keywords matched,OArCS is an ontology describing the Arthropod ciruclatory system.
aero,Unknown,677,0,no keywords matched,
sbo,Systems Biology Ontology,696,0,no keywords matched,"Terms commonly used in Systems Biology, and in particular in computational modeling."
opl,Ontology for Parasite Lifecycle,701,0,no keywords matched,"The Ontology for Parasite Lifecycle (OPL) models the life cycle stage details of various parasites, including Trypanosoma sp., Leishmania major, and Plasmodium sp., etc. In addition to life cycle stag"
reproduceme,REPRODUCE-ME Ontology,712,0,no keywords matched,The REPRODUCE-ME ontology is an extension of the PROV-O and the P-Plan ontology to describe a complete path of a scientific experiment. It expresses the REPRODUCE-ME Data Model using the OWL2 Web Onto
mfoem,Emotion Ontology,740,0,no keywords matched,"An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings."
fbbi,Biological Imaging Methods Ontology,787,0,no keywords matched,"A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research."
nmrcv,nuclear magnetic resonance CV,831,0,no keywords matched,This artefact is an MSI-approved controlled vocabulary primarily developed under COSMOS EU and PhenoMeNal EU governance. The nmrCV is supporting the nmrML XML format with standardized terms. nmrML is 
uo,Units of measurement ontology,851,0,no keywords matched,Metrical units for use in conjunction with PATO
spd,Spider Ontology,852,0,no keywords matched,"An ontology for spider comparative biology including anatomical parts (e.g. leg, claw), behavior (e.g. courtship, combing) and products (i.g. silk, web, borrow)."
om,Ontology of units of Measure (OM),889,0,no keywords matched,"The Ontology of units of Measure (OM) 2.0 models concepts and relations important to scientific research. It has a strong focus on units, quantities, measures, and dimensions."
mmo,Measurement method ontology,891,0,phenotype-centric; unrelated domain,A representation of the variety of methods used to make clinical and phenotype measurements. 
ro,Relation Ontology,914,0,no keywords matched,Relationship types shared across multiple ontologies
hso,Health Surveillance Ontology,943,0,no keywords matched,"The health Surveillance Ontology (HSO) focuses on ""surveillance system level data"", that is, data outputs from surveillance activities, such as number of samples collected, cases observed, etc. It aim"
cteno,Ctenophore Ontology,960,0,no keywords matched,An anatomical and developmental ontology for ctenophores (Comb Jellies)
biolink,,974,0,no keywords matched,
wbls,C. elegans Development Ontology,992,0,no keywords matched,Ontology about the development and life stages of the C. elegans
oostt,Ontology of Organizational Structures of Trauma centers and Trauma Systems,1051,0,no keywords matched,The Ontology of Organizational Structures of Trauma centers and Trauma systems (OOSTT) is a representation of the components of trauma centers and trauma systems coded in Web Ontology Language (OWL2).
rxno,RXNO,1068,0,no keywords matched,RXNO is the name reaction ontology. It contains more than 500 classes representing organic reactions such as the Diels–Alder cyclization.
proco,PROCO: PROcess Chemistry Ontology,1087,0,no keywords matched,PROCO (PROcess Chemistry Ontology) is a formal ontology that aims to standardly represent entities and relations among entities in the domain of process chemistry.
stato,STATO: the statistical methods ontology,1120,0,no keywords matched,"STATO is the statistical methods ontology. It contains concepts and properties related to statistical methods, probability distributions and other concepts related to statistical analysis, including r"
xlmod,HUPO-PSI cross-linking and derivatization reagents controlled vocabulary,1149,0,no keywords matched,A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.
emi,The Earth Metabolome Initiative (EMI) ontology,1172,0,no keywords matched,The Earth Metabolome Initiative (EMI) ontology is designed to capture and structure the metabolic content of all currently known species on our planet.
fix,Physico-chemical methods and properties,1178,0,no keywords matched,An ontology of physico-chemical methods and properties.
addicto,Addiction Ontology,1386,0,no keywords matched,The Addiction Ontology (AddictO) is an ontology being developed all aspects of addiction research.
ico,Informed Consent Ontology (ICO),1392,0,no keywords matched,The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.
psdo,Performance Summary Display Ontology,1419,0,no keywords matched,Performance Summary Display Ontology (PSDO) is an application ontology about motivating information in performance summaries and the visual and textual entities that are used to communicate about perf
hancestro,Human Ancestry Ontology,1425,0,no keywords matched,Human ancestry ontology for the NHGRI GWAS Catalog
msio,Metabolomics Standards Initiative Ontology (MSIO),1460,0,no keywords matched,an application ontology for supporting description and annotation of mass-spectrometry and nmr-spectroscopy based metabolomics experiments and fluxomics studies.
ceph,Cephalopod Ontology,1685,0,no keywords matched,An anatomical and developmental ontology for cephalopods
ngbo, Next generation biobanking ontology(NGBO).,1767,0,no keywords matched, Next Generation Biobanking Ontology (NGBO) is an open application ontology representing contextual data about omics digital assets in biobank. The ontology focuses on capturing the information about 
occo,Occupation Ontology (OccO),1936,0,no keywords matched,This Occupaton Ontology (OccO) is an ontology in the domain of human occupaitons. Current OccO version is developed based on the US Bureau of Labor Statistics Standard Occupation Classification (SOC) 
epio,Epilepsy Ontology (EPIO),2050,0,no keywords matched,"The Epilepsy Ontology (EPIO) is an assembly of structured knowledge on various aspects of epilepsy, developed according to basic formal ontology (BFO) and Open Biological and Biomedical Ontology (OBO)"
mod,Protein modification,2145,0,no keywords matched,PSI-MOD is an ontology consisting of terms that describe protein chemical modifications
ontoneo,Obstetric and Neonatal Ontology,2159,0,no keywords matched,"The Obstetric and Neonatal Ontology is a structured controlled vocabulary to provide a representation of the data from electronic health records (EHRs) involved in the care of the pregnant woman, and "
obib,Ontology for BIoBanking (OBIB),2201,0,no keywords matched,"The Ontology for Biobanking (OBIB) is an ontology for the annotation and modeling of the activities, contents, and administration of a biobank. Biobanks are facilities that store specimens, such as bo"
schemaorg_http,,2439,0,no keywords matched,
schemaorg_https,,2439,0,no keywords matched,
fbcv,FlyBase Controlled Vocabulary,2451,0,no keywords matched,A structured controlled vocabulary used for various aspects of annotation by FlyBase.
bcgo,Beta Cell Genomics Ontology,2485,0,no keywords matched,An application ontology built for beta cell genomics studies.
bcio,The Behaviour Change Intervention Ontology,2618,0,no keywords matched,The Behaviour Change Intervention Ontology is an ontology for all aspects of human behaviour change interventions and their evaluation.
swo,Software ontology,2657,0,no keywords matched,"The Software Ontology (SWO) is a resource for describing software tools, their types, tasks, versions, provenance and associated data. It contains detailed information on licensing and formats as well"
pw,Pathway ontology,2769,0,no keywords matched,A controlled vocabulary for annotating gene products to pathways.
so,Sequence types and features ontology,2828,0,no keywords matched,"A structured controlled vocabulary for sequence annotation, for the exchange of annotation data and for the description of sequence objects in databases."
ncro,Non-Coding RNA Ontology,3162,0,no keywords matched,"An ontology for non-coding RNA, both of biological origin, and engineered."
chmo,Chemical Methods Ontology,3164,0,no keywords matched,"CHMO, the chemical methods ontology, describes methods used to"
mba,Mouse Brain Atlas Ontology,3377,0,no keywords matched,An application ontology built by combining ontologised versions of the Allen Institute Mouse Brain Atlas (MBA) StructureGraph mapped to Uberon.
fideo,Unknown,3562,0,no keywords matched,
edam,EDAM - The ontology of data analysis and management,3586,0,no keywords matched,"EDAM is a domain ontology of data analysis and data management in bio- and other sciences, and science-based applications. It comprises concepts related to analysis, modelling, optimisation, and data "
ms,Mass spectrometry ontology,3683,0,no keywords matched,A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.
mop,MOP,3724,0,no keywords matched,"MOP is the molecular process ontology. It contains the molecular processes that underlie the name reaction ontology RXNO, for example cyclization, methylation and demethylation."
slso,Space Life Sciences Ontology,3741,0,no keywords matched,The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive and other systems that contain space life science research dat
idomal,Malaria Ontology,3799,0,no keywords matched,An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.
afo,Allotrope Merged Ontology Suite,3893,0,no keywords matched,Allotrope Merged Ontology Suite
pso,Plant Stress Ontology,4179,0,no keywords matched,The Plant Stress Ontology describes biotic and abiotic stresses that a plant may encounter.
one,Ontology for Nutritional Epidemiology,4323,0,no keywords matched,An ontology to standardize research output of nutritional epidemiologic studies.
dmba,Developing Mouse Brain Atlas Ontology,4518,0,no keywords matched,An application ontology built by combining ontologised versions of the Allen Institute Developing Mouse Brain Atlas (DMBA) StructureGraph mapped to Uberon.
upa,Unipathway,4817,0,no keywords matched,A manually curated resource for the representation and annotation of metabolic pathways
ons,Ontology for Nutritional Studies,4929,0,no keywords matched,An ontology for description of concepts in the nutritional studies domain.
agro,Agronomy Ontology,5007,0,no keywords matched,"AgrO is an ontlogy for representing agronomic practices, techniques, variables and related entities"
dicom,Unknown,5007,0,no keywords matched,
hba,Human Brain Atlas Ontology,5426,0,no keywords matched,An application ontology built by combining ontologised versions of the Allen Institute Human Brain Atlas (HBA) Structure Graph mapped to Uberon.
rs,Rat Strain Ontology,5428,0,no keywords matched,Ontology of rat strains
obi,Ontology for Biomedical Investigations,5479,0,no keywords matched,"An ontology for representing biomedical investigations, including study designs, the collection and preparation of the targets of investigation, assays, instrumentation and reagents used, as well as t"
lifestylefactors,Lifestyle Factors Ontology,5623,0,no keywords matched,"In this ontology, we defined nine distinct categories that encompass various aspects of lifestyle factors (LSFs), creating a unified Lifestyle Factors Ontology (LSFO) across these categories. Within t"
dhba,Developing Human Brain Atlas Ontology,7096,0,no keywords matched,An application ontology built by combining ontologised versions of the Allen Institute Developing Human Brain Atlas (DHBA) Structure Graph mapped to Uberon.
maxo,Medical Action Ontology,7312,0,no keywords matched,"An ontology to represent medically relevant actions, procedures, therapies, interventions, and recommendations."
bao,BioAssay Ontology,8157,0,no keywords matched,The BioAssay Ontology (BAO) describes biological screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis. BAO is an e
genepio,Genomic Epidemiology Ontology,9853,0,pathogen/host interaction; unrelated domain,"The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks."
hra,Human Reference Atlas (HRA),10377,0,no keywords matched,"The Human Reference Atlas (HRA) is a comprehensive, high-resolution, three-dimensional atlas of all the cells in the healthy human body. The Human Reference Atlas provides standard terminologies and d"
oae,OAE: Ontology of Adverse Events,10827,0,no keywords matched,"The Ontology of Adverse Eventsy (OAE) is a biomedical ontology in the domain of adverse events. OAE aims to standardize adverse event annotation, integrate various adverse event data, and support comp"
chiro,CHEBI Integrated Role Ontology,13329,0,no keywords matched,CHEBI provides a distinct role hierarchy. Chemicals in the structural hierarchy are connected via a 'has role' relation. CHIRO provides links from these roles to useful other classes in other ontologi
gsso,"GSSO - the Gender, Sex, and Sexual Orientation ontology",16488,0,no keywords matched,"GSSO is the Gender, Sex, and Sex Orientation ontology, including terms related to gender identity and expression, sexual and romantic identity and orientation, and sexual and reproductive behavior."
cl,Cell Ontology,17521,0,no keywords matched,An ontology of cell types.
vbo,Vertebrate Breed Ontology,20045,0,no keywords matched,Vertebrate Breed Ontology is an ontology created to serve as a single computable resource for vertebrate breed names.
enm,eNanoMapper ontology,27233,0,no keywords matched,"The eNanoMapper project (https://www.enanomapper.net/), NanoCommons project (https://www.nanocommons.eu/) and ACEnano project (http://acenano-project.eu/) are creating a pan-European computational inf"
iceo,ICEO: Ontology of Integrative and Conjugative Elements,31053,0,no keywords matched,A biological ontology to standardize and integrate Integrative and Conjugative Element (ICE) information and to support computer-assisted reasoning.
hp,Human Phenotype Ontology,32151,0,phenotype-centric; unrelated domain,The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.
mp,The Mammalian Phenotype Ontology,35325,0,phenotype-centric; unrelated domain,"The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Anna V. Anagnostopoulos, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Pr"
ictv,,38780,0,no keywords matched,
mro,MHC Restriction Ontology,51461,0,no keywords matched,"The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein"
zp,Zebrafish Phenotype Ontology (ZP),63989,0,phenotype-centric; unrelated domain,The Zebrafish Phenotype Ontology formally defines all phenotypes of the Zebrafish model organism.
go,Gene Ontology,84737,0,no keywords matched,The Gene Ontology (GO) provides a framework and set of concepts for describing the functions of gene products from all organisms.
omit,Ontology for MIRNA Target,91043,0,no keywords matched,Ontology to establish data exchange standards and common data elements in the microRNA (miR) domain
rexo,Regulation of Gene Expression Ontology,158251,0,no keywords matched,Regulation of Gene Expression
gexo,Gene Expression Ontology,166266,0,no keywords matched,Gene Expression Ontology
gno,Glycan Naming Ontology,194587,0,no keywords matched,"An ontology for glycans based on GlyTouCan, but organized by subsumption."
disdriv,Disease Drivers,96,-3,environmental conditions; unrelated domain,"Drivers of human diseases including environmental, maternal and social exposures."
exo,Exposure ontology (ExO),175,-3,environmental conditions; unrelated domain,"ExO is intended to bridge the gap between exposure science and diverse environmental health disciplines including toxicology, epidemiology, disease surveillance, and epigenetics."
apollo_sv,Apollo Structured Vocabulary,2138,-3,population/community; unrelated domain,An OWL2 ontology of phenomena in infectious disease epidemiology and population biology for use in epidemic simulation.
doid,Human Disease Ontology,19241,-3,population/community; unrelated domain,"The Disease Ontology has been developed as a standardized ontology for human disease with the purpose of providing the biomedical community with consistent, reusable and sustainable descriptions of hu"
cido,CIDO: Ontology of Coronavirus Infectious Disease,32942,-3,population/community; unrelated domain,The Ontology of Coronavirus Infectious Disease (CIDO) is a community-driven open-source biomedical ontology in the area of coronavirus infectious disease. The CIDO is developed to provide standardized
clo,CLO: Cell Line Ontology,43745,-3,population/community; unrelated domain,The Cell Line Ontology (CLO) is a community-based ontology of cell lines. The CLO is developed to unify publicly available cell line entry data from multiple sources to a standardized logically define
zeco,Zebrafish Experimental Conditions Ontology,205,-4,experimental/evidence; unrelated domain,Ontology of Zebrafish Experimental Conditions
